name,selling_price,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Tata Tigor 2017-2020 XZ,500000,2018,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,5
Maruti Baleno Delta 1.2,575000,2016,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Maruti Alto 800 LXI,275000,2017,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Chevrolet Enjoy TCDi LTZ 7 Seater,300000,2013,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,7
Maruti Wagon R LXI Minor,220000,2009,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5
Maruti Omni E MPI STD BS IV,254999,2018,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8
Maruti Vitara Brezza LDi Option,670000,2017,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Fiat Palio 1.2 ELX,70000,2003,50000,Petrol,Individual,Manual,Second Owner,,,,
Maruti Omni 8 Seater BSIV,150000,2012,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5
Hyundai i20 1.2 Asta Dual Tone,730000,2018,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Maruti Vitara Brezza LDi,650000,2017,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Alto 800 CNG LXI Optional,330000,2019,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,4
Maruti Alto K10 VXI Airbag,366000,2019,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,5
Hyundai Verna VTVT 1.6 SX Option,1149000,2019,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5
Datsun GO D,150000,2016,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5
Tata Safari DICOR 2.2 LX 4x2,425000,2011,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7
Maruti 800 Std,150000,2012,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4
Jeep Compass 1.4 Limited Plus BSIV,2100000,2019,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,5
Honda City i VTEC VX,925000,2018,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5
Honda City V MT,425000,2013,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5
Maruti Swift Dzire VXi AT,675000,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5
Maruti Vitara Brezza VDi,819999,2018,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Alto K10 VXI,390000,2018,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Toyota Fortuner 4x4 MT,1500000,2014,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,2013,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7
Mercedes-Benz B Class B180,1450000,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,5
Honda Amaze S Diesel,425000,2015,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,5
Mitsubishi Pajero Sport 4X4,1090000,2013,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7
Honda City i DTEC S,600000,2015,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5
Maruti Ciaz Zeta,850000,2018,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5
Honda Jazz VX Diesel,525000,2015,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5
Toyota Innova Crysta 2.8 ZX AT BSIV,1650000,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7
Toyota Innova 2.5 G (Diesel) 7 Seater,950000,2016,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7
Audi A6 2.0 TDI Technology,1750000,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,5
Toyota Corolla Altis 1.8 VL CVT,1590000,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5
Audi A6 2.0 TDI  Design Edition,1689999,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,5
Mercedes-Benz New C-Class 220 CDI AT,1425000,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5
Tata Manza ELAN Quadrajet BS IV,265000,2011,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5
Hyundai i10 Magna,190000,2011,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Hyundai i20 Asta 1.4 CRDi,425000,2013,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5
Maruti Swift Dzire ZDI,630000,2015,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5
Ford Figo 1.2P Titanium MT,600000,2017,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,5
Maruti Baleno Delta 1.2,650000,2019,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,540000,2016,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5
Honda City i DTEC VX,630000,2015,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5
Maruti Wagon R AMT VXI,448000,2018,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5
Volkswagen Ameo 1.5 TDI Comfortline,500000,2017,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5
Maruti Vitara Brezza VDi,745000,2016,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Vitara Brezza ZDi Plus AMT,1025000,2019,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Hyundai i10 Magna,235000,2011,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5
Maruti Swift VDI Deca,630000,2016,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5
Toyota Fortuner 4x4 MT,1700000,2015,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7
Maruti Swift Star VDI,450000,2013,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5
Maruti Ertiga ZXI,450000,2012,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7
Tata Indica DLS,50000,2003,70000,Diesel,Individual,Manual,First Owner,,,,
Volkswagen Vento Diesel Highline,450000,2013,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,1200000,2016,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,610000,2015,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5
BMW X1 sDrive20i xLine,2500000,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5
Maruti Celerio ZXI MT BSIV,484999,2017,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5
Datsun GO A Petrol,275000,2016,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5
Maruti Alto 800 VXI BSIV,315000,2016,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Alto 800 LXI BSIV,275000,2016,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5
Maruti Swift VDI BSIV W ABS,475000,2015,78000,Diesel,Dealer,Manual,First Owner,,,,
Hyundai i10 Era 1.1,290000,2012,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Maruti Omni 8 Seater BSIV,280000,2017,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5
Maruti Wagon R LXI LPG BSIV,225000,2010,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,5
Volkswagen Polo 1.2 MPI Comfortline,455000,2015,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5
Hyundai i10 Magna 1.1L,351000,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5
Volkswagen Vento Petrol Highline,535000,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,5
Maruti Zen Estilo LXI BSIII,175000,2009,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5
Hyundai i20 Asta Optional with Sunroof 1.2,525000,2013,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5
Maruti Swift Dzire LDI,600000,2016,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5
Hyundai Xcent 1.2 Kappa SX Option AT,565000,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,5
Maruti Alto LX BSIII,120000,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5
Hyundai i20 1.4 Asta Option,725000,2017,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5
Maruti Wagon R VXI,185000,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,5
Tata Manza Aura (ABS) Quadrajet,200000,2010,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5
Maruti Swift VXI,615000,2019,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Maruti Eeco 7 Seater Standard BSIV,270000,2016,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7
Maruti Baleno Zeta 1.2,610000,2018,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5
Mahindra Scorpio VLX AT AIRBAG BSIV,625000,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8
Ford Freestyle Titanium Petrol BSIV,400000,2020,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,5
Hyundai Verna VTVT 1.6 SX,866000,2017,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5
Volkswagen Passat 1.8 TSI MT,700000,2010,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,2010,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5
Mahindra XUV500 W11 Option AWD,1700000,2019,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,7
Tata Indigo CS LS (TDI) BS-III,375000,2016,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5
Hyundai Verna 1.6 SX,522000,2013,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5
Hyundai i20 Magna 1.4 CRDi (Diesel),451999,2013,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5
Toyota Corolla Altis G,300000,2009,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,5
Maruti Celerio VXI,475000,2020,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5
Maruti Vitara Brezza ZDi Plus Dual Tone,780000,2016,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5
Maruti Swift Dzire VXI,595000,2017,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Maruti Wagon R VXI BS IV,440000,2017,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5
Maruti Swift VDI BSIV,300000,2010,120000,Diesel,Individual,Manual,Second Owner,,,,
Nissan Terrano XL 85 PS,400000,2014,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5
Hyundai Creta 1.6 CRDi SX,1140000,2016,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,2017,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5
Maruti Swift Dzire VDi,370000,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5
Renault KWID 1.0,350000,2018,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5
Maruti Celerio VXI,360000,2015,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5
Maruti Alto LXi,105000,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5
Maruti Ertiga VDI,625000,2013,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Hyundai Santro Xing GLS,135000,2009,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,5
Maruti Ertiga VDI,700000,2015,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7
Honda Amaze S i-VTEC,690000,2019,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5
Audi Q5 35TDI Premium Plus,3975000,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,5
Lexus ES 300h,5150000,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5
Jaguar XF 2.0 Diesel Portfolio,3200000,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5
Jeep Wrangler 2016-2019 3.6 4X4,4100000,2017,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,5
Land Rover Discovery Sport TD4 SE,4500000,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,7
Mercedes-Benz S-Class S 350 CDI,6000000,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5
BMW 5 Series 520d Sport Line,3790000,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,5
BMW X1 sDrive 20D xLine,2150000,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,
BMW X4 M Sport X xDrive20d,5800000,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5
Skoda Superb LK 1.8 TSI AT,1864999,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,5
Mercedes-Benz E-Class E250 Edition E,2700000,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,5
MG Hector Sharp AT BSIV,1750000,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,5
Honda City i-VTEC CVT VX,795000,2017,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,5
Toyota Corolla Altis 1.8 G CVT,625000,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5
Volvo XC40 D4 R-Design,3400000,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5
Audi Q7 35 TDI Quattro Premium,2650000,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,7
Maruti Ciaz ZDi,535000,2015,40000,Diesel,Dealer,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5
Mercedes-Benz S-Class S 350 CDI,5850000,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,5
BMW 5 Series 523i,975000,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,5
Hyundai Elantra S,805000,2016,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,2018,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5
Volkswagen Vento Petrol Highline,375000,2011,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,5
Hyundai Elantra SX,550000,2012,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5
Skoda Rapid 1.6 MPI AT Elegance,645000,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5
Mercedes-Benz CLA 200 CGI Sport,2550000,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,5
Maruti Ertiga ZXI,599000,2014,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,5
Honda City V AT,875000,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6 kmpl,1497 CC,116.3 bhp,5
Toyota Glanza V CVT,894999,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,5
Maruti Alto K10 VXI,175000,2011,11000,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5
Maruti Swift VXI,340000,2012,24300,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5
Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5
BMW 3 Series 320d Luxury Line,2150000,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5
Toyota Camry 2.5 Hybrid,1900000,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5
BMW 5 Series 520d Luxury Line,2900000,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12 kmpl,1995 CC,190 bhp,5
Toyota Camry W4 (AT),450000,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,5
Maruti Ertiga BSIV ZXI Plus,850000,2016,20000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,7
Volvo XC90 T8 Excellence BSIV,10000000,2017,30000,Petrol,Individual,Automatic,First Owner,42.0 kmpl,1969 CC,400 bhp,4
Volkswagen Vento Diesel Highline,300000,2011,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5
Ford Figo Aspire 1.2 Ti-VCT Trend,575000,2018,9500,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5
Ford Figo Diesel LXI,160000,2011,120000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5
Maruti Swift VXI Optional,515000,2015,36600,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5
Maruti Wagon R AMT VXI,390000,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,5
Hyundai i20 Magna 1.2,550000,2016,14000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5
Maruti 800 Std,40000,1999,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4
Maruti Ritz VDi,220000,2010,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5
Hyundai Grand i10 Magna,425000,2015,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5
Volkswagen Ameo 1.0 MPI Trendline,480000,2019,13000,Petrol,Individual,Manual,First Owner,19.44 kmpl,999 CC,75 bhp,5
Hyundai Grand i10 Sportz,400000,2014,60000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,5
Maruti Swift Dzire VXI,487000,2014,35000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,5
Hyundai Xcent 1.2 Kappa S,386000,2016,44000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,82 bhp,5
Honda City 1.5 EXI,100000,2005,120000,Petrol,Individual,Manual,Second Owner,13.0 kmpl,1493 CC,100 bhp,5
Toyota Corolla Altis Diesel D4DG,300000,2010,60000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,5
Daewoo Matiz SD,100000,2000,60000,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,5
Toyota Fortuner 4x2 Manual,1750000,2014,30000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2982 CC,168.5 bhp,7
Mahindra KUV 100 mFALCON G80 K8,450000,2016,15000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,6
Tata Zest Quadrajet 1.3 75PS XM,490000,2017,90000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,5
Honda City 1.5 S MT,345000,2009,47000,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,5
Maruti Zen LXI,85000,2005,90000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5
Maruti Wagon R VXI BS IV with ABS,215000,2010,120600,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5
Hyundai Verna Transform SX VTVT,320000,2010,100000,Petrol,Individual,Manual,Third Owner,16.2 kmpl,1599 CC,103.2 bhp,5
Maruti Swift Dzire VXI,459999,2016,60000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,5
Hyundai Getz GLS,65000,2005,86000,Petrol,Individual,Manual,First Owner,15.3 kmpl,1341 CC,83 bhp,5
Hyundai Elite i20 Sportz Plus BSIV,720000,2020,5000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5
Maruti Ciaz 1.3 Alpha,800000,2017,37000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5
Tata Tigor 1.2 Revotron XZ,520000,2019,14000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,5
Maruti Ertiga VDI,580000,2015,70000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7
